"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"2652526","2340812","5","1001","","Chobani Kids Greek Yogurt Tubes"
"2652524","2340812","3","1001","","99% fat free"
"2662537","2340812","","1002","","Moisture change: 0%"
"2652523","2340812","2","1001","","1% fat"
"2641295","2340812","","999","WWEIA Category description","Yogurt, Greek"
"2652522","2340812","1","1001","","2% fat"
"2652527","2340813","1","1001","","0% fat"
"2652530","2340813","4","1001","","light, NFS"
"2641296","2340813","","999","WWEIA Category number","1822"
"2641297","2340813","","999","WWEIA Category description","Yogurt, Greek"
"2652528","2340813","2","1001","","fat free"
"2652529","2340813","3","1001","","light"
"2662538","2340813","","1002","","Moisture change: 0%"
"2641298","2340814","","999","WWEIA Category number","1820"
"2641299","2340814","","999","WWEIA Category description","Yogurt, regular"
"2662539","2340814","","1002","","Moisture change: 0%"
"2641301","2340815","","999","WWEIA Category description","Yogurt, regular"
"2662540","2340815","","1002","","Moisture change: 0%"
"2641300","2340815","","999","WWEIA Category number","1820"
"2662541","2340816","","1002","","Moisture change: 0%"
"2652531","2340816","1","1001","","1% fat"
"2641303","2340816","","999","WWEIA Category description","Yogurt, regular"
"2652533","2340816","3","1001","","99% fat free"
"2652535","2340816","5","1001","","Go-Gurt Portable Yogurt tube"
"2641302","2340816","","999","WWEIA Category number","1820"
"2652534","2340816","4","1001","","light"
"2652532","2340816","2","1001","","2% fat"
"2652539","2340817","4","1001","","light, NFS"
"2641304","2340817","","999","WWEIA Category number","1820"
"2641305","2340817","","999","WWEIA Category description","Yogurt, regular"
"2652538","2340817","3","1001","","light"
"2662542","2340817","","1002","","Moisture change: 0%"
"2652536","2340817","1","1001","","0% fat"
"2652537","2340817","2","1001","","fat free"
"2662543","2340818","","1002","","Moisture change: 0%"
"2641307","2340818","","999","WWEIA Category description","Yogurt, Greek"
"2641306","2340818","","999","WWEIA Category number","1822"
"2641308","2340819","","999","WWEIA Category number","1822"
"2662544","2340819","","1002","","Moisture change: 0%"
"2641309","2340819","","999","WWEIA Category description","Yogurt, Greek"
"2652542","2340820","3","1001","","99% fat free"
"2641311","2340820","","999","WWEIA Category description","Yogurt, Greek"
"2652544","2340820","5","1001","","Chobani Kids Greek Yogurt Tubes"
"2641310","2340820","","999","WWEIA Category number","1822"
"2652541","2340820","2","1001","","2% fat"
"2652540","2340820","1","1001","","1% fat"
"2662545","2340820","","1002","","Moisture change: 0%"
"2652543","2340820","4","1001","","light"
"2652546","2340821","2","1001","","fat free"
"2641312","2340821","","999","WWEIA Category number","1822"
"2662546","2340821","","1002","","Moisture change: 0%"
"2641313","2340821","","999","WWEIA Category description","Yogurt, Greek"
"2652545","2340821","1","1001","","0% fat"
"2641315","2340822","","999","WWEIA Category description","Yogurt, Greek"
"2641314","2340822","","999","WWEIA Category number","1822"
"2652548","2340822","2","1001","","with granola"
"2652547","2340822","1","1001","","all types"
"2662547","2340822","","1002","","Moisture change: 0%"
"2662548","2340823","","1002","","Moisture change: 0%"
"2652549","2340823","1","1001","","all types and flavors"
"2641317","2340823","","999","WWEIA Category description","Yogurt, regular"
"2641316","2340823","","999","WWEIA Category number","1820"
"2652550","2340824","1","1001","","jalapeno dip"
"2662549","2340824","","1002","","Moisture change: 0%"
"2652552","2340824","3","1001","","greek yogurt based"
"2641318","2340824","","999","WWEIA Category number","8412"
"2641319","2340824","","999","WWEIA Category description","Dips, gravies, other sauces"
"2652551","2340824","2","1001","","Southwest dip"
"2652553","2340824","4","1001","","regular or light"
"2641321","2340825","","999","WWEIA Category description","Dips, gravies, other sauces"
"2641320","2340825","","999","WWEIA Category number","8412"
"2652555","2340825","2","1001","","toasted onion dip"
"2652557","2340825","4","1001","","greek yogurt based"
"2652556","2340825","3","1001","","green onion dip"
"2652554","2340825","1","1001","","French onion dip"
"2662550","2340825","","1002","","Moisture change: 0%"
"2652558","2340825","5","1001","","regular or light"
"2641322","2340826","","999","WWEIA Category number","8412"
"2652560","2340826","2","1001","","regular or light"
"2641323","2340826","","999","WWEIA Category description","Dips, gravies, other sauces"
"2662551","2340826","","1002","","Moisture change: 0%"
"2652559","2340826","1","1001","","greek yogurt based"
"2641325","2340827","","999","WWEIA Category description","Dips, gravies, other sauces"
"2652561","2340827","1","1001","","greek yogurt based"
"2641324","2340827","","999","WWEIA Category number","8412"
"2652562","2340827","2","1001","","regular or light"
"2662552","2340827","","1002","","Moisture change: 0%"
"2641327","2340828","","999","WWEIA Category description","Dips, gravies, other sauces"
"2662553","2340828","","1002","","Moisture change: 0%"
"2652563","2340828","1","1001","","Greek dip"
"2641326","2340828","","999","WWEIA Category number","8412"
"2641329","2340829","","999","WWEIA Category description","Dips, gravies, other sauces"
"2662554","2340829","","1002","","Moisture change: 0%"
"2652564","2340829","1","1001","","greek yogurt based"
"2641328","2340829","","999","WWEIA Category number","8412"
"2652565","2340829","2","1001","","regular or light"
"2652566","2340829","3","1001","","dill"
"2641330","2340830","","999","WWEIA Category number","1820"
"2641331","2340830","","999","WWEIA Category description","Yogurt, regular"
"2652568","2340830","2","1001","","with granola"
"2662555","2340830","","1002","","Moisture change: 0%"
"2652567","2340830","1","1001","","McDonald's Fruit 'n Yogurt Parfait"
"2662556","2340831","","1002","","Moisture change: 0%"
"2641333","2340831","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2641332","2340831","","999","WWEIA Category number","5802"
"2652570","2340832","3","1001","","swirl"
"2652571","2340832","4","1001","","in a cup"
"2662557","2340832","","1002","","Moisture change: 0%"
"2652569","2340832","2","1001","","other flavors"
"2641334","2340832","","999","WWEIA Category number","5802"
"2641335","2340832","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652572","2340832","5","1001","","scoop"
"2641337","2340833","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652573","2340833","1","1001","","in a cup"
"2641336","2340833","","999","WWEIA Category number","5802"
"2662558","2340833","","1002","","Moisture change: 0%"
"2652574","2340833","2","1001","","scoop"
"2652578","2340834","4","1001","","in a cup"
"2652577","2340834","3","1001","","NS as to flavor"
"2641339","2340834","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2641338","2340834","","999","WWEIA Category number","5802"
"2652576","2340834","2","1001","","swirl"
"2652575","2340834","1","1001","","other flavors"
"2662559","2340834","","1002","","Moisture change: 0%"
"2641340","2340835","","999","WWEIA Category number","5802"
"2662560","2340835","","1002","","Moisture change: 0%"
"2641341","2340835","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652579","2340835","1","1001","","in a cup"
"2652580","2340836","1","1001","","all flavors"
"2652581","2340836","2","1001","","prepackaged frozen yogurt cone"
"2641343","2340836","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2641342","2340836","","999","WWEIA Category number","5802"
"2662561","2340836","","1002","","Moisture change: 0%"
"2662562","2340837","","1002","","Moisture change: 0%"
"2652582","2340837","1","1001","","frozen yogurt bar, NFS"
"2641345","2340837","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652583","2340837","2","1001","","stick"
"2652584","2340837","3","1001","","other flavors"
"2652586","2340837","5","1001","","with or without coating"
"2641344","2340837","","999","WWEIA Category number","5802"
"2652585","2340837","4","1001","","swirl"
"2652588","2340838","2","1001","","with or without coating"
"2662563","2340838","","1002","","Moisture change: 0%"
"2652587","2340838","1","1001","","stick"
"2641346","2340838","","999","WWEIA Category number","5802"
"2641347","2340838","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2662564","2340839","","1002","","Moisture change: 0%"
"2641348","2340839","","999","WWEIA Category number","5802"
"2641349","2340839","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652589","2340839","1","1001","","scooped or soft serve"
"2652590","2340840","1","1001","","other flavors"
"2641351","2340840","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2662565","2340840","","1002","","Moisture change: 0%"
"2641350","2340840","","999","WWEIA Category number","5802"
"2652591","2340840","2","1001","","swirl"
"2652592","2340840","3","1001","","scooped or soft serve"
"2652594","2340841","2","1001","","swirl"
"2662566","2340841","","1002","","Moisture change: 0%"
"2652593","2340841","1","1001","","other flavors"
"2641352","2340841","","999","WWEIA Category number","5802"
"2641353","2340841","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2652595","2340841","3","1001","","scooped or soft serve"
"2652596","2340842","1","1001","","scooped or soft serve"
"2641354","2340842","","999","WWEIA Category number","5802"
"2641355","2340842","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"2662567","2340842","","1002","","Moisture change: 0%"
"2641356","2340843","","999","WWEIA Category number","9007"
"2662568","2340843","","1002","","Moisture change: 0%"
"2641357","2340843","","999","WWEIA Category description","Baby food: mixtures"
"2641359","2340844","","999","WWEIA Category description","Baby food: yogurt"
"2641358","2340844","","999","WWEIA Category number","9010"
"2662569","2340844","","1002","","Moisture change: 0%"
"2652597","2340845","1","1001","","other flavors"
"2662570","2340845","","1002","","Moisture change: 0%"
"2641361","2340845","","999","WWEIA Category description","Baby food: yogurt"
"2641360","2340845","","999","WWEIA Category number","9010"
"2652598","2340846","1","1001","","NS as to milk or drink"
"2641362","2340846","","999","WWEIA Category number","1208"
"2662571","2340846","","1002","","Moisture change: 0%"
"2641363","2340846","","999","WWEIA Category description","Flavored milk, nonfat"
"2641365","2340847","","999","WWEIA Category description","Flavored milk, whole"
"2641364","2340847","","999","WWEIA Category number","1202"
"2662572","2340847","","1002","","Moisture change: 0%"
"2641366","2340848","","999","WWEIA Category number","1204"
"2652599","2340848","4","1001","","2% fat"
"2662573","2340848","","1002","","Moisture change: 0%"
"2641367","2340848","","999","WWEIA Category description","Flavored milk, reduced fat"
"2641368","2340849","","999","WWEIA Category number","1208"
"2641369","2340849","","999","WWEIA Category description","Flavored milk, nonfat"
"2652600","2340849","1","1001","","nonfat milk"
"2662574","2340849","","1002","","Moisture change: 0%"
"2652601","2340849","2","1001","","skim"
"2652602","2340850","3","1001","","Hershey's Chocolate milk"
"2641370","2340850","","999","WWEIA Category number","1206"
"2652603","2340850","4","1001","","1% fat"
"2662575","2340850","","1002","","Moisture change: 0%"
"2641371","2340850","","999","WWEIA Category description","Flavored milk, lowfat"
"2641372","2340851","","999","WWEIA Category number","1206"
"2641373","2340851","","999","WWEIA Category description","Flavored milk, lowfat"
"2662576","2340851","","1002","","Moisture change: 0%"
"2652605","2340851","2","1001","","less sugar"
"2652604","2340851","1","1001","","TruMoo"
"2652608","2340852","3","1001","","1% fat"
"2652606","2340852","1","1001","","NS as to type of milk"
"2641374","2340852","","999","WWEIA Category number","1206"
"2662577","2340852","","1002","","Moisture change: 0%"
"2641375","2340852","","999","WWEIA Category description","Flavored milk, lowfat"
"2652607","2340852","2","1001","","regular, reduced, or less sugar"
"2652610","2340853","2","1001","","1% fat"
"2641376","2340853","","999","WWEIA Category number","1206"
"2641377","2340853","","999","WWEIA Category description","Flavored milk, lowfat"
"2652609","2340853","1","1001","","NS as to type of milk"
"2662578","2340853","","1002","","Moisture change: 0%"
"2652616","2340854","6","1001","","McDonald's"
"2662579","2340854","","1002","","Moisture change: 0%"
"2641379","2340854","","999","WWEIA Category description","Flavored milk, reduced fat"
"2652614","2340854","4","1001","","chocolate espanol"
"2652618","2340854","8","1001","","Dunkin Donuts"
"2641378","2340854","","999","WWEIA Category number","1204"
"2652613","2340854","3","1001","","evaporated milk"
"2652617","2340854","7","1001","","Starbucks"
"2652619","2340854","9","1001","","made from syrup, tablet, or bar"
"2652611","2340854","1","1001","","whole, 2%, or reduced fat milk"
"2652612","2340854","2","1001","","NS as to milk"
"2652615","2340854","5","1001","","chocolate caliente"
"2652623","2340855","4","1001","","Starbucks"
"2652620","2340855","1","1001","","low fat, fat free, skim, or 1% milk"
"2662580","2340855","","1002","","Moisture change: 0%"
"2641381","2340855","","999","WWEIA Category description","Flavored milk, nonfat"
"2652621","2340855","2","1001","","chocolate espanol"
"2641380","2340855","","999","WWEIA Category number","1208"
"2652624","2340855","5","1001","","made from syrup, tablet, or bar"
"2652622","2340855","3","1001","","chocolate caliente"
"2652625","2340856","1","1001","","almond, coconut, rice, or soy milk"
"2641383","2340856","","999","WWEIA Category description","Milk substitutes"
"2641382","2340856","","999","WWEIA Category number","1404"
"2652627","2340856","3","1001","","chocolate caliente"
"2652626","2340856","2","1001","","chocolate espanol"
"2652629","2340856","5","1001","","made from syrup, tablet, or bar"
"2662581","2340856","","1002","","Moisture change: 0%"
"2652628","2340856","4","1001","","Starbucks"
"2652635","2340857","6","1001","","Dunkin Donuts"
"2652634","2340857","5","1001","","Starbucks"
"2652632","2340857","3","1001","","evaporated milk"
"2652633","2340857","4","1001","","McDonald's"
"2662582","2340857","","1002","","Moisture change: 0%"
"2652636","2340857","7","1001","","made from syrup, tablet, or bar"
"2641385","2340857","","999","WWEIA Category description","Flavored milk, reduced fat"
"2652630","2340857","1","1001","","whole, 2%, or reduced fat milk"
"2652631","2340857","2","1001","","NS as to milk"
"2641384","2340857","","999","WWEIA Category number","1204"
"2662583","2340858","","1002","","Moisture change: 0%"
"2641387","2340858","","999","WWEIA Category description","Flavored milk, whole"
"2641386","2340858","","999","WWEIA Category number","1202"
